Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testdata,Firefox 62.0,,2018-07-25 11:42:53,2018-07-25 11:43:01,7.654s,ERROR
,,,,,,
Test Cases/Day2/test 1,Firefox 62.0,dfgdfg,2018-07-25 11:42:54,2018-07-25 11:43:01,7.195s,ERROR
openBrowser,Firefox 62.0,,2018-07-25 11:42:54,2018-07-25 11:42:59,4.692s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-25 11:42:59,2018-07-25 11:42:59,0.000s,PASSED
