Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeTestSuit,Chrome 67.0.3396.99,,2018-07-24 17:52:50,2018-07-24 17:53:24,33.921s,PASSED
,,,,,,
Test Cases/LOGIN/Test Login,Chrome 67.0.3396.99,,2018-07-24 17:52:50,2018-07-24 17:53:02,12.232s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:50,2018-07-24 17:52:53,2.739s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:52:53,2018-07-24 17:52:58,4.511s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:58,2018-07-24 17:52:58,0.095s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:58,2018-07-24 17:52:58,0.114s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:52:58,2018-07-24 17:52:58,0.221s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:58,2018-07-24 17:53:00,2.185s,PASSED
,,,,,,
Test Cases/LOGIN/ValidateLinks,Chrome 67.0.3396.99,,2018-07-24 17:53:02,2018-07-24 17:53:23,20.784s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-24 17:53:02,2018-07-24 17:53:12,9.790s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:53:12,2018-07-24 17:53:12,0.029s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:53:12,2018-07-24 17:53:12,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:53:12,2018-07-24 17:53:12,0.018s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:53:12,2018-07-24 17:53:12,0.023s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:53:12,2018-07-24 17:53:12,0.023s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:12,2018-07-24 17:53:14,1.541s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-24 17:53:14,2018-07-24 17:53:14,0.063s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:14,2018-07-24 17:53:14,0.505s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:14,2018-07-24 17:53:15,0.516s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:15,2018-07-24 17:53:16,1.399s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:16,2018-07-24 17:53:16,0.071s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 17:53:16,2018-07-24 17:53:17,1.238s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-24 17:53:17,2018-07-24 17:53:18,0.150s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:18,2018-07-24 17:53:19,1.294s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:19,2018-07-24 17:53:19,0.510s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:19,2018-07-24 17:53:20,0.513s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:20,2018-07-24 17:53:21,0.931s,PASSED
