Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testdata,Firefox 62.0,,2018-07-25 11:44:49,2018-07-25 11:45:06,17.205s,PASSED
,,,,,,
Test Cases/Day2/test 1,Firefox 62.0,dfgdfg,2018-07-25 11:44:49,2018-07-25 11:45:05,16.610s,PASSED
openBrowser,Firefox 62.0,,2018-07-25 11:44:49,2018-07-25 11:44:54,4.699s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-25 11:44:54,2018-07-25 11:45:00,6.192s,PASSED
click,Firefox 62.0,,2018-07-25 11:45:00,2018-07-25 11:45:00,0.277s,PASSED
setText,Firefox 62.0,,2018-07-25 11:45:00,2018-07-25 11:45:00,0.074s,PASSED
setText,Firefox 62.0,,2018-07-25 11:45:00,2018-07-25 11:45:00,0.051s,PASSED
click,Firefox 62.0,,2018-07-25 11:45:00,2018-07-25 11:45:03,2.902s,PASSED
